"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"流","才能や知識が広く、多方面に活躍","A breadth of talent and knowledge, thriving across many fields.","Una amplitud de talento y conocimiento, prosperando en muchos campos.","Une ampleur de talent et de connaissances, prospérant dans de nombreux domaines.","Eine Breite an Talent und Wissen, die in vielen Bereichen gedeiht.","Un'ampiezza di talento e conoscenza, che prospera in molti campi.","Isang lawak ng talento at kaalaman, umuunlad sa maraming larangan.","Uma amplitude de talento e conhecimento, prosperando em muitos campos.","Birçok alanda gelişen geniş yetenek ve bilgi yelpazesi.","اتساع من المواهب والمعرفة يزدهر في العديد من المجالات.","En bredd av talang och kunskap som blomstrar inom många områden.","Een breedte aan talent en kennis die in veel vakgebieden floreert.","Szeroki zakres talentu i wiedzy, rozwijający się w wielu dziedzinach.","En bredde av talent og kunnskap som blomstrer på mange felt.","Tehetség és tudás szélessége, amely sok területen virágzik.","רוחב כישרון וידע המשגשגים בתחומים רבים.","Широта таланта и знаний, процветающая во многих областях.","Talento ir žinių platumas, klestintis daugelyje sričių."
"符","神に守られている存在","A being protected by the divine.","Un ser protegido por lo divino.","Un être protégé par le divin.","Ein Wesen, das vom Göttlichen beschützt wird.","Un essere protetto dal divino.","Isang nilalang na pinoprotektahan ng banal.","Um ser protegido pelo divino.","İlahi tarafından korunan bir varlık.","كائن محمي من قبل الإلهي.","En varelse skyddad av det gudomliga.","Een wezen beschermd door het goddelijke.","Istota chroniona przez boskość.","Et vesen beskyttet av det guddommelige.","Egy lény, akit az isteni véd.","ישות המוגנת על ידי האלוהי.","Существо, защищенное божественным.","Būtybė, saugoma dievybių."
"利","相手に利益を提供する人間関係","Relationships built on offering benefit to others.","Relaciones construidas sobre ofrecer beneficio a los demás.","Des relations construites sur l'offre d'avantages aux autres.","Beziehungen, die darauf aufgebaut sind, anderen Nutzen zu bieten.","Relazioni costruite sull'offrire beneficio agli altri.","Mga relasyon na binuo sa pagbibigay ng kabutihan sa iba.","Relações construídas sobre oferecer benefício aos outros.","Başkalarına fayda sunmaya dayalı ilişkiler.","علاقات مبنية على تقديم منفعة للآخرين.","Relationer byggda på att erbjuda nytta åt andra.","Relaties gebouwd op het bieden van voordeel aan anderen.","Relacje zbudowane na oferowaniu korzyści innym.","Relasjoner bygget på å tilby nytte til andre.","Kapcsolatok, amelyek mások javát szolgálják.","מערכות יחסים הבנויות על מתן תועלת לאחרים.","Отношения, построенные на предложении выгоды другим.","Santykiai, sukurti teikiant naudą kitiems."
"夢","大きな夢が夢じゃなくなる","A great dream becomes no longer just a dream.","Un gran sueño deja de ser solo un sueño.","Un grand rêve cesse d'être seulement un rêve.","Ein großer Traum wird nicht länger nur ein Traum sein.","Un grande sogno non è più solo un sogno.","Isang malaking pangarap na hindi na lamang pangarap.","Um grande sonho deixa de ser apenas um sonho.","Büyük bir rüya artık sadece bir rüya olmaktan çıkar.","حلم عظيم لم يعد مجرد حلم.","En stor dröm slutar vara bara en dröm.","Een grote droom stopt met slechts een droom te zijn.","Wielkie marzenie przestaje być tylko marzeniem.","En stor drøm slutter å være bare en drøm.","Egy nagy álom többé nem csak álom.","חלום גדול מפסיק להיות רק חלום.","Великая мечта перестает быть просто мечтой.","Didelė svajonė tampa nebe tik svajone."
"恵","恵まれた人間関係に感謝している","Grateful for blessed human relationships.","Agradecido por las bendecidas relaciones humanas.","Reconnaissant pour les relations humaines bénies.","Dankbar für gesegnete menschliche Beziehungen.","Grato per le relazioni umane benedette.","Nagpapasalamat para sa pinagpala na mga ugnayan ng tao.","Grato pelas relações humanas abençoadas.","Kutsanmış insan ilişkilerine minnettar.","ممتن للعلاقات الإنسانية المباركة.","Tacksam för välsignade mänskliga relationer.","Dankbaar voor gezegende menselijke relaties.","Wdzięczny za błogosławione relacje międzyludzkie.","Takknemlig for velsignede menneskelige relasjoner.","Hálás a megáldott emberi kapcsolatokért.","אסיר תודה על מערכות יחסים אנושיות מבורכות.","Благодарен за благословенные человеческие отношения.","Dėkingas už palaimintus žmonių santykius."
"理","とても賢く、問題を解決する力が強い","Very wise, with a strong ability to solve problems.","Muy sabio, con una fuerte capacidad para resolver problemas.","Très sage, avec une forte capacité à résoudre les problèmes.","Sehr weise, mit großer Fähigkeit zur Problemlösung.","Molto saggio, con una forte capacità di risolvere problemi.","Napakatalino, may malakas na kakayahan sa paglutas ng problema.","Muito sábio, com forte capacidade de resolver problemas.","Çok bilge, sorun çözme konusunda güçlü bir yetenek.","حكيم جدًا، بقدرة قوية على حل المشكلات.","Mycket vis, med stark förmåga att lösa problem.","Zeer wijs, met een sterke capaciteit om problemen op te lossen.","Bardzo mądry, z silną zdolnością rozwiązywania problemów.","Veldig klok, med sterk evne til å løse problemer.","Nagyon bölcs, erős problémamegoldó képességgel.","חכם מאוד, עם יכולת חזקה לפתור בעיות.","Очень мудрый, с сильной способностью решать проблемы.","Labai išmintingas, turintis stiprų gebėjimą spręsti problemas."
"花","咲いた花を見た時のような幸福感を提供する","Providing happiness like seeing a flower in bloom.","Proporcionando felicidad como ver una flor en flor.","Apportant du bonheur comme voir une fleur en fleur.","Glück spendend wie das Betrachten einer blühenden Blume.","Fornendo felicità come vedere un fiore in fiore.","Nagbibigay ng kaligayahan na parang makakita ng bulaklak na namumulaklak.","Proporcionando felicidade como ver uma flor florescer.","Mutluluk sağlamak, çiçeğin açışını görmek gibi.","يمنح السعادة مثل رؤية زهرة تتفتح.","Ger lycka som att se en blomma blomma.","Geluk brengen zoals het zien van een bloem in bloei.","Dostarczając szczęścia jak widok kwitnącego kwiatu.","Gir lykke som å se en blomst blomstre.","Boldogságot ad, mint amikor egy virág kinyílik.","מספק אושר כמו לראות פרח בפריחה.","Дарить счастье, подобно виду цветущего цветка.","Teikti laimę, lyg matant žydinčią gėlę."
"星","あなたのおかげで希望の星が再び心に光る","Thanks to you, the star of hope shines again in the heart.","Gracias a ti, la estrella de la esperanza brilla de nuevo en el corazón.","Grâce à toi, l'étoile de l'espoir brille à nouveau dans le cœur.","Dank dir leuchtet der Stern der Hoffnung wieder im Herzen.","Grazie a te, la stella della speranza brilla di nuovo nel cuore.","Dahil sa iyo, muling nagniningning ang bituin ng pag-asa sa puso.","Graças a você, a estrela da esperança brilha novamente no coração.","Sayende dolayı, umudun yıldızı kalpte yeniden parlıyor.","بفضلك، يضيء نجم الأمل مرة أخرى في القلب.","Tack vare dig lyser hoppets stjärna igen i hjärtat.","Dankzij jou straalt de ster van hoop weer in het hart.","Dzięki tobie gwiazda nadziei znów świeci w sercu.","Takket være deg skinner håpets stjerne igjen i hjertet.","Neked köszönhetően a remény csillaga ismét ragyog a szívben.","בזכותך, כוכב התקווה זורח שוב בלב.","Благодаря вам звезда надежды снова сияет в сердце.","Jūsų dėka vilties žvaigždė vėl šviečia širdyje."
"莉","清らかな香りを放ち、周囲にやさしい癒しを届ける心","A heart that releases a pure fragrance, bringing gentle healing to those around.","Un corazón que libera una fragancia pura, trayendo una suave sanación a los que te rodean.","Un cœur qui libère un parfum pur, apportant une douce guérison à ceux qui l'entourent.","Ein Herz, das einen reinen Duft verströmt und sanfte Heilung für die Umgebung bringt.","Un cuore che libera un profumo puro, portando una dolce guarigione a chi ti circonda.","Isang puso na nagpapalabas ng dalisay na halimuyak, nagdudulot ng banayad na paggaling sa mga nasa paligid.","Um coração que libera uma fragrância pura, trazendo uma suave cura aos que o rodeiam.","Etrafındakilere nazik bir şifa getiren saf bir koku yayan bir kalp.","قلب يطلق عبيرًا نقيًا، يجلب شفاءً لطيفًا لمن حوله.","Ett hjärta som sprider en ren doft och ger mild läkning åt dem omkring.","Een hart dat een zuivere geur verspreidt en zachte genezing brengt aan de mensen om je heen.","Serce, które uwalnia czysty zapach, przynosząc łagodne uzdrowienie otoczeniu.","Et hjerte som frigjør en ren duft og gir mild helbredelse til de rundt.","Egy szív, amely tiszta illatot áraszt, gyengéd gyógyulást hozva a környezetének.","לב שמשחרר ריח טהור, מביא ריפוי עדין לסובבים אותו.","Сердце, источающее чистый аромат, приносящее нежное исцеление окружающим.","Širdis, skleidžianti tyrą aromatą, teikianti švelnų gijimą aplinkiniams."
"空","大空のように、自由で無限の可能性を抱く精神","A spirit as vast as the sky, embracing freedom and infinite possibilities.","Un espíritu tan vasto como el cielo, abrazando la libertad y posibilidades infinitas.","Un esprit aussi vaste que le ciel, embrassant la liberté et les possibilités infinies.","Ein Geist so weit wie der Himmel, der Freiheit und unendliche Möglichkeiten umarmt.","Uno spirito vasto come il cielo, che abbraccia la libertà e possibilità infinite.","Isang espiritu na kasinglawak ng langit, niyayakap ang kalayaan at walang katapusang posibilidad.","Um espírito tão vasto quanto o céu, abraçando a liberdade e possibilidades infinitas.","Gökyüzü kadar geniş bir ruh, özgürlüğü ve sonsuz olasılıkları kucaklar.","روح واسعة كالسما، تحتضن الحرية والإمكانات اللامتناهية.","En ande så vid som himlen, som omfamnar frihet och oändliga möjligheter.","Een geest zo uitgestrekt als de hemel, die vrijheid en oneindige mogelijkheden omarmt.","Duch tak rozległy jak niebo, obejmujący wolność i nieskończone możliwości.","En ånd så vid som himmelen, som omfavner frihet og uendelige muligheter.","Egy égig érő lélek, amely a szabadságot és végtelen lehetőségeket öleli át.","רוח רחבה כהשמיים, מחבקת חירות ואפשרויות אינסופיות.","Дух, обширный как небо, охватывающий свободу и бесконечные возможности.","Dvasia, plati kaip dangus, priimanti laisvę ir begalines galimybes."
"龍","天を翔ける力強さと、深い知恵を兼ね備えた守護の象徴","A guardian symbol of soaring strength and profound wisdom.","Un símbolo guardián de fuerza ascendente y profunda sabiduría.","Un symbole gardien de force ascendante et de sagesse profonde.","Ein Wächtersymbol für aufsteigende Stärke und tiefe Weisheit.","Un simbolo guardiano di forza ascendente e profonda saggezza.","Isang simbolong tagapangalaga ng tumataas na lakas at malalim na karunungan.","Um símbolo guardião de força ascendente e sabedoria profunda.","Yükselen güç ve derin bilgelik simgesi bir koruyucu.","رمز حارس للقوة الصاعدة والحكمة العميقة.","En väktarsymbol för stigande styrka och djup visdom.","Een beschermend symbool van stijgende kracht en diepe wijsheid.","Symbol strażniczy wznoszącej się siły i głębokiej mądrości.","Et voktersymbol på stigende styrke og dyp visdom.","Egy őrzőszimbólum a növekvő erőről és mély bölcsességről.","סמל שומר של כוח עולה וחוכמה עמוקה.","Символ-хранитель парящей силы и глубокой мудрости.","Saugantis kylančios jėgos ir gilios išminties simbolis."
"桜","日本の桜、一瞬の美しさに人生の儚さを映し、周囲に喜びを咲かせる存在","Japan’s cherry blossoms, reflecting life’s fleeting beauty and bringing joy to those around.","Los cerezos en flor de Japón, reflejando la belleza efímera de la vida y trayendo alegría a los que te rodean.","Les cerisiers en fleurs du Japon, reflétant la beauté éphémère de la vie et apportant de la joie à ceux qui vous entourent.","Japans Kirschblüten, die die vergängliche Schönheit des Lebens widerspiegeln und Freude bringen.","I ciliegi in fiore del Giappone, riflettendo la bellezza effimera della vita e portando gioia a chi ti circonda.","Mga cherry blossom ng Japan, sumasalamin sa panandaliang ganda ng buhay at nagdudulot ng saya sa paligid.","As cerejeiras em flor do Japão, refletindo a beleza efêmera da vida e trazendo alegria aos que o rodeiam.","Japonya'nın çiçek açan kirazları, hayatın gelip geçici güzelliğini yansıtarak çevresine neşe getirir.","أزهار الكرز اليابانية، تعكس جمال الحياة الزائل وتجلب الفرح لمن حولك.","Japans körsbärsblommor, som speglar livets flyktiga skönhet och ger glädje åt dem omkring.","De kersenbloesems van Japan, die de vergankelijke schoonheid van het leven weerspiegelen en vreugde brengen.","Japońskie kwiaty wiśni, odzwierciedlające przemijające piękno życia i przynoszące radość otoczeniu.","Japans kirsebærblomster, som reflekterer livets flyktige skjønnhet og gir glede til de rundt.","Japán cseresznyevirágok, amelyek az élet múló szépségét tükrözik és örömet hoznak a környezetnek.","פריחת הדובדבן של יפן, המשקפת את יופיו החולף של החיים ומביאה שמחה לסובבים.","Сакура Японии, отражающая мимолетную красоту жизни и приносящая радость окружающим.","Japonijos vyšnių žiedai, atspindintys trumpalaikį gyvenimo grožį ir teikiantys džiaugsmą aplinkiniams."
"門","新しい世界へと人を導き、出会いと縁を結ぶ入り口","A gateway that leads people to new worlds, weaving encounters and connections.","Una puerta que conduce a nuevos mundos, tejiendo encuentros y conexiones.","Une porte qui mène à de nouveaux mondes, tissant rencontres et connexions.","Ein Tor, das Menschen in neue Welten führt und Begegnungen sowie Verbindungen webt.","Un portale che conduce a nuovi mondi, tessendo incontri e connessioni.","Isang pintuan na nagdadala sa mga bagong mundo, hinahabi ang mga pagkikita at koneksyon.","Um portal que leva a novos mundos, tecendo encontros e conexões.","Yeni dünyalara açılan bir kapı, karşılaşmaları ve bağlantıları örer.","بوابة تقود إلى عوالم جديدة، تنسج اللقاءات والروابط.","En port som leder till nya världar och väver möten och förbindelser.","Een poort die mensen naar nieuwe werelden leidt en ontmoetingen en verbindingen weeft.","Brama prowadząca do nowych światów, tka spotkania i połączenia.","En port som leder til nye verdener, og vever møter og forbindelser.","Egy kapu, amely új világokhoz vezet, találkozásokat és kapcsolatokat sző.","שער שמוביל לעולמות חדשים, טווה מפגשים וקשרים.","Врата, ведущие людей в новые миры, соткав встречи и связи.","Vartai, vedantys žmones į naujus pasaulius, pinantys susitikimus ir ryšius."
"照","光を放ち、暗闇を照らすことで人々に安心と希望を与える","Shining light into darkness, offering comfort and hope to people.","Iluminando la oscuridad, ofreciendo consuelo y esperanza a la gente.","Éclairant l'obscurité, offrant réconfort et espoir aux gens.","Licht in die Dunkelheit bringend, Trost und Hoffnung spendend.","Illuminando l'oscurità, offrendo conforto e speranza alle persone.","Nagliliwanag sa kadiliman, nag-aalok ng aliw at pag-asa sa mga tao.","Iluminando a escuridão, oferecendo consolo e esperança às pessoas.","Karanlığı aydınlatıp insanlara teselli ve umut sunmak.","يضيء الظلام، مقدمًا العزاء والأمل للناس.","Lyser upp mörkret och erbjuder tröst och hopp åt människor.","Het duister verlichtend, troost en hoop biedend aan mensen.","Rozświetlając ciemność, oferując pocieszenie i nadzieję ludziom.","Lyser opp mørket, og tilbyr trøst og håp til folk.","Megvilágítva a sötétséget, vigaszt és reményt nyújtva az embereknek.","מאיר את החושך, מציע נחמה ותקווה לאנשים.","Светящийся свет во тьме, предлагающий утешение и надежду людям.","Šviečianti šviesa tamsoje, teikianti guodimą ir viltį žmonėms."
"凛","澄んだ空気のようにクールな姿勢、周囲に尊敬を呼び起こす。なのに、どこか可愛いさもある。","A cool stance like clear air, inspiring respect—yet with a touch of endearing charm.","Una postura fresca como el aire claro, inspirando respeto—pero con un toque de encanto entrañable.","Une posture fraîche comme l'air pur, inspirant le respect—mais avec une touche de charme attachant.","Eine kühle Haltung wie klare Luft, die Respekt inspiriert—doch mit einem Hauch von liebenswürdigem Charme.","Una postura fresca come aria limpida, ispirando rispetto—ma con un tocco di fascino affabile.","Isang preskong tindig na parang malinaw na hangin, nagbibigay ng paggalang—ngunit may kaakit-akit na alindog.","Uma postura fresca como ar puro, inspirando respeito—mas com um toque de charme cativante.","Temiz hava gibi serin bir duruş, saygı uyandırır—ama sevimli bir çekicilik dokunuşuyla.","وقفة باردة كهواء نقي، تلهم الاحترام—لكن مع لمسة من السحر المحبب.","En sval hållning som klar luft, som inger respekt—men med en touch av charmig värme.","Een koele houding als heldere lucht, die respect inspireert—maar met een vleugje innemende charme.","Chłodna postawa jak czyste powietrze, budząca szacunek—ale z nutą ujmującego uroku.","En frisk holdning som klar luft, som inspirerer respekt—men med et snev av sjarmerende varme.","Friss tartás, mint a tiszta levegő, tiszteletet ébreszt—de szerethető bájjal.","יציבה קרירה כמו אוויר צלול, מעוררת כבוד—אך עם נגיעה של חן חביב.","Прохладная позиция, как чистый воздух, внушающая уважение, но с ноткой обаяния.","Vėsi laikysena kaip tyras oras, įkvepianti pagarbą, bet su žavingu patrauklumu."
"好","素直な好意と親しみを持ち、人と人を結びつける温かさ","A warmth that connects people with honest affection.","Calidez que conecta a las personas con afecto sincero.","Chaleur qui relie les gens avec une affection sincère.","Wärme, die Menschen mit ehrlicher Zuneigung verbindet.","Calore che unisce le persone con sincero affetto.","Taos-pusong pagmamahal na nag-uugnay sa mga tao.","Calor que conecta pessoas com afeto sincero.","Samimi sevgiyle insanları birleştiren bir sıcaklık.","دفء يربط بين الناس بمودة صادقة.","En värme som förenar människor med äkta omtanke.","Een warmte die mensen verbindt met oprechte genegenheid.","Ciepło, które łączy ludzi szczerą serdecznością.","Varme som knytter folk sammen med oppriktig omtanke.","Őszinte szeretettel összekötő melegség.","חום שמחבר בין אנשים בחיבה כנה.","Теплота, которая соединяет людей с искренней привязанностью.","Šiluma, jungianti žmones nuoširdžia meile."
